timestamp,symbol,action,quantity,price,transaction_cost,position_after,cash_after,portfolio_value
1777778986.077281,^NSEI,HOLD,0.0,100.32150209099439,0.0,0.0,100000.0,100000.0
1777778987.077856,^NSEI,HOLD,0.0,99.81374155633748,0.0,0.0,100000.0,100000.0
1777778988.078225,^NSEI,HOLD,0.0,99.89785213855745,0.0,0.0,100000.0,100000.0
1777778989.078583,^NSEI,HOLD,0.0,100.18059869133869,0.0,0.0,100000.0,100000.0
1777778990.078901,^NSEI,HOLD,0.0,99.95895702927847,0.0,0.0,100000.0,100000.0
1777778991.07924,^NSEI,HOLD,0.0,99.59752066356138,0.0,0.0,100000.0,100000.0
1777778992.079587,^NSEI,HOLD,0.0,99.35959780174547,0.0,0.0,100000.0,100000.0
1777778993.079868,^NSEI,HOLD,0.0,99.14382247056805,0.0,0.0,100000.0,100000.0
1777778994.080199,^NSEI,HOLD,0.0,98.97587407676993,0.0,0.0,100000.0,100000.0
1777778995.080495,^NSEI,HOLD,0.0,98.757524311963,0.0,0.0,100000.0,100000.0
1777778996.080761,^NSEI,HOLD,0.0,98.66015656386347,0.0,0.0,100000.0,100000.0
1777778997.08104,^NSEI,HOLD,0.0,98.64636118083648,0.0,0.0,100000.0,100000.0
1777778998.081317,^NSEI,HOLD,0.0,98.6414809179134,0.0,0.0,100000.0,100000.0
1777778999.081593,^NSEI,HOLD,0.0,98.72267333220609,0.0,0.0,100000.0,100000.0
1777779000.081859,^NSEI,HOLD,0.0,98.82787113222018,0.0,0.0,100000.0,100000.0
1777779001.082143,^NSEI,HOLD,0.0,98.86377576992132,0.0,0.0,100000.0,100000.0
1777779002.082421,^NSEI,HOLD,0.0,98.92026280808969,0.0,0.0,100000.0,100000.0
1777779003.082716,^NSEI,HOLD,0.0,98.9136538850705,0.0,0.0,100000.0,100000.0
1777779004.083,^NSEI,HOLD,0.0,98.9594726811129,0.0,0.0,100000.0,100000.0
1777779005.083268,^NSEI,HOLD,0.0,98.99923298514548,0.0,0.0,100000.0,100000.0
1777779006.083562,^NSEI,HOLD,0.0,99.02651979402896,0.0,0.0,100000.0,100000.0
1777779007.083834,^NSEI,HOLD,0.0,99.01721304000488,0.0,0.0,100000.0,100000.0
1777779008.084117,^NSEI,HOLD,0.0,99.07055151215775,0.0,0.0,100000.0,100000.0
1777779009.084397,^NSEI,HOLD,0.0,99.11310455801079,0.0,0.0,100000.0,100000.0
1777779010.084672,^NSEI,HOLD,0.0,99.13306033724233,0.0,0.0,100000.0,100000.0
1777779011.084973,^NSEI,HOLD,0.0,99.13627903250419,0.0,0.0,100000.0,100000.0
1777779012.085277,^NSEI,HOLD,0.0,99.1639973948683,0.0,0.0,100000.0,100000.0
1777779013.085589,^NSEI,HOLD,0.0,99.20681071277079,0.0,0.0,100000.0,100000.0
1777779014.085905,^NSEI,HOLD,0.0,99.26555426508853,0.0,0.0,100000.0,100000.0
1777779015.08621,^NSEI,HOLD,0.0,99.33980301091773,0.0,0.0,100000.0,100000.0
1777779016.086516,^NSEI,HOLD,0.0,99.50016333200551,0.0,0.0,100000.0,100000.0
1777779017.086835,^NSEI,HOLD,0.0,99.63490982848548,0.0,0.0,100000.0,100000.0
1777779018.087145,^NSEI,HOLD,0.0,99.7417472751791,0.0,0.0,100000.0,100000.0
1777779019.08742,^NSEI,HOLD,0.0,99.81067305326596,0.0,0.0,100000.0,100000.0
1777779020.087701,^NSEI,HOLD,0.0,99.90101534126798,0.0,0.0,100000.0,100000.0
1777779021.08799,^NSEI,HOLD,0.0,100.03167078423066,0.0,0.0,100000.0,100000.0
1777779022.088264,^NSEI,HOLD,0.0,100.15203434506131,0.0,0.0,100000.0,100000.0
1777779023.088714,^NSEI,HOLD,0.0,100.23478432221673,0.0,0.0,100000.0,100000.0
1777779024.089078,^NSEI,HOLD,0.0,100.28308145500546,0.0,0.0,100000.0,100000.0
1777779025.089466,^NSEI,HOLD,0.0,100.3540226151428,0.0,0.0,100000.0,100000.0
1777779026.089758,^NSEI,HOLD,0.0,100.44996288500339,0.0,0.0,100000.0,100000.0
1777779027.090059,^NSEI,HOLD,0.0,100.56239131994491,0.0,0.0,100000.0,100000.0
1777779028.090344,^NSEI,HOLD,0.0,100.64604349183423,0.0,0.0,100000.0,100000.0
1777779029.090634,^NSEI,HOLD,0.0,100.73521768161659,0.0,0.0,100000.0,100000.0
1777779030.090915,^NSEI,HOLD,0.0,100.82552254828342,0.0,0.0,100000.0,100000.0
1777779031.09132,^NSEI,HOLD,0.0,100.92061062056021,0.0,0.0,100000.0,100000.0
1777779032.091838,^NSEI,HOLD,0.0,101.04365364425513,0.0,0.0,100000.0,100000.0
1777779033.092283,^NSEI,HOLD,0.0,101.17042643160462,0.0,0.0,100000.0,100000.0
1777779034.092675,^NSEI,HOLD,0.0,101.3170894023686,0.0,0.0,100000.0,100000.0
1777779035.093058,^NSEI,HOLD,0.0,101.4610893109139,0.0,0.0,100000.0,100000.0
1777779036.093452,^NSEI,HOLD,0.0,101.6104839252412,0.0,0.0,100000.0,100000.0
1777779037.093772,^NSEI,HOLD,0.0,101.77728061951925,0.0,0.0,100000.0,100000.0
1777779038.09409,^NSEI,HOLD,0.0,101.88653983985796,0.0,0.0,100000.0,100000.0
1777779039.094371,^NSEI,HOLD,0.0,101.98121335305555,0.0,0.0,100000.0,100000.0
