timestamp,symbol,price,bid,ask,volume,spread,imbalance,metadata
1777778986.077281,^NSEI,100.32471707975444,,,,,,"{'source': 'synthetic', 'sequence': 0}"
1777778987.077856,^NSEI,99.3014209109102,,,,,,"{'source': 'synthetic', 'sequence': 1}"
1777778988.078225,^NSEI,100.0664898957711,,,,,,"{'source': 'synthetic', 'sequence': 2}"
1777778989.078583,^NSEI,101.02769329064105,,,,,,"{'source': 'synthetic', 'sequence': 3}"
1777778990.078901,^NSEI,99.0768129829135,,,,,,"{'source': 'synthetic', 'sequence': 4}"
1777778991.07924,^NSEI,97.80647039079427,,,,,,"{'source': 'synthetic', 'sequence': 5}"
1777778992.079587,^NSEI,97.95106787094372,,,,,,"{'source': 'synthetic', 'sequence': 6}"
1777778993.079868,^NSEI,97.6608950882546,,,,,,"{'source': 'synthetic', 'sequence': 7}"
1777778994.080199,^NSEI,97.66401910646837,,,,,,"{'source': 'synthetic', 'sequence': 8}"
1777778995.080495,^NSEI,96.85043492587764,,,,,,"{'source': 'synthetic', 'sequence': 9}"
1777778996.080761,^NSEI,97.72150577624681,,,,,,"{'source': 'synthetic', 'sequence': 10}"
1777778997.08104,^NSEI,98.50112006850945,,,,,,"{'source': 'synthetic', 'sequence': 11}"
1777778998.081317,^NSEI,98.58586126921,,,,,,"{'source': 'synthetic', 'sequence': 12}"
1777778999.081593,^NSEI,99.71687889393472,,,,,,"{'source': 'synthetic', 'sequence': 13}"
1777779000.081859,^NSEI,100.2030079943448,,,,,,"{'source': 'synthetic', 'sequence': 14}"
1777779001.082143,^NSEI,99.36201170066597,,,,,,"{'source': 'synthetic', 'sequence': 15}"
1777779002.082421,^NSEI,99.74828230023245,,,,,,"{'source': 'synthetic', 'sequence': 16}"
1777779003.082716,^NSEI,98.81176303308978,,,,,,"{'source': 'synthetic', 'sequence': 17}"
1777779004.083,^NSEI,99.69953761578759,,,,,,"{'source': 'synthetic', 'sequence': 18}"
1777779005.083268,^NSEI,99.66970162090699,,,,,,"{'source': 'synthetic', 'sequence': 19}"
1777779006.083562,^NSEI,99.50538379507626,,,,,,"{'source': 'synthetic', 'sequence': 20}"
1777779007.083834,^NSEI,98.84772331530206,,,,,,"{'source': 'synthetic', 'sequence': 21}"
1777779008.084117,^NSEI,100.07594713983282,,,,,,"{'source': 'synthetic', 'sequence': 22}"
